Fecha,Mercador,Pagador,Super Mercado,Barrio,Factura,Solo Brando,Solo Vane,Brando Paga Vane,Vane Paga Brando,Brando Suprise,burtbees,papel higenico,Cauzela,Cereal,Leche,Jugo,Higos,Mango,Kiwi,Pitahaya,papaya,Fresa,Piña,mixta,Galupa,Arandano,Uchuva,Pera nacional,Pera Verde,Manzana Granny,Manzana Royal,Manzana Mixta,Ciruela,Nectarin,Durazno,Plantano,Banano,Mandarina,Limon,Guanabana,Granadilla,Fruta,broccoli,esparragos,aguacate,vegetalesMixta,Habicuela,Champinon,Zanahoria,Tomate,TomateArbol,white onion,red onion,Pimentos,Brocoli,Berenjena,Calabacin,aguacate injert,aguacate hass,Ajo,Papa,Ensalada,Verdura,carne precessada,carne molida,vaca,pollo,tocino,cerdo,camaron,pescado,huevos,Carne,aveva,arroz,lentejas,frijoles,garbazos,Arepa,pasta,pasta sauce,Quesito,Cafe,TÉ,Cerveza,Papel HIgenico,Mercato,Cosa por el baño,Pastilla,Para la Casa,Bosas Plasticas,IVA,Factura Compartido   Con Amor
21-Dec-18,los_dos,Brando,Jumbo,Envigado,65450.00,0.00,0.00,,,,,,42912.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13812.00,,,,,,,,,,12840.00,,,,,,,,,,8390.00,,,,,,,,51.00,,65450.00
21-Dec-24,los_dos,Brando,Jumbo,Envigado,276667.00,83120.00,0.00,,143367.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10407.00,,,,,,,,,,,,,,,,,,,,,25883.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.00,,50180.00
21-Dec-24,Brando,Brando,Jumbo,Envigado,231957.00,0.00,0.00,,10590.00,64580.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45452.00,,,,,,,,,,,,,,,,,,,,,13650.00,,,,,,,,,,24518.00,,,,,,27290.00,,,4590.00,8390.00,23590.00,,,,,,,204.00,,221367.00
21-Dec-26,los_dos,Brando,Jumbo,Envigado,31951.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31951.00
21-Dec-27,Brando,Brando,Jumbo,Envigado,23590.00,0.00,0.00,,,,,,,,23590.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,23590.00
21-Dec-30,Brando,Brando,Jumbo,Envigado,219962.00,0.00,0.00,,,,,,61397.00,28980.00,23590.00,,,,,,,,,,,,,,,,,,,,,,,,,,,49610.00,,,,,,,,,,,,,,,,,,,,,16950.00,,,,,,,,,,34469.00,,,,,,31160.00,,,8190.00,16780.00,,,,,,,,255.00,,219962.00
22-Jan-04,Brando,Brando,Jumbo,Envigado,143850.00,0.00,0.00,,,,,,14888.00,,23590.00,,,,,,,,,,,,,,,,,,,,,,,,,,,4682.00,,,,,,,,,,,,,,,,,,,,,2201.00,,,,,,,,,,,,,,,,16580.00,,,,,,,,,,,,159.00,,143850.00
22-Jan-07,Brando,Brando,Jumbo,Envigado,181405.00,19990.00,0.00,,,30666.00,,,,12990.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,20168.00,,,,,,,,,,,,,,,,,,,,,6456.00,,,,,,,,,,24210.00,,,,,,19980.00,,,16380.00,8390.00,23590.00,,,,,,,0.00,,161415.00
22-Jan-10,Vane,Vane,Jumbo,Envigado,147563.00,0.00,0.00,,,,,,,,7380.00,,,,,,,,,,,,,,,,,,,,,,,,,,,13987.00,,,,,,,,,,,,,,,,,,,,,5343.00,,,,,,,,,,47298.00,,,,,,,,,,,,,,7590.00,13790.00,,,0.00,,147563.00
22-Jan-10,Vane,Vane,DeUno,Envigado,24560.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24560.00,4380.00,,24560.00
22-Jan-13,Brando,Brando,Jumbo,Envigado,181161.00,0.00,0.00,,,,,,,15990.00,23590.00,,,,,,,,,,,,,,,,,,,,,,,,,,,50949.00,,,,,,,,,,,,,,,,,,,,,15932.00,,,,,,,,,,,,,,,,35560.00,,,12780.00,8390.00,,,,8180.00,,,,0.00,,181161.00
22-Jan-20,Brando,Brando,Jumbo,Envigado,110000.00,0.00,0.00,,,,,,,12990.00,23590.00,,,,,,,,,,,,,,,,,,,,,,,,,,,30816.00,,,,,,,,,,,,,,,,,,,,,6096.00,,,,,,,,,,,,,,,,,,,12780.00,,,,,,7190.00,,9590.00,0.00,,110000.00
22-Jan-22,los_dos,Brando,MerkaCaldas,Caldas,94812.00,0.00,0.00,,,,,,19715.00,18051.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,5346.00,,,,,,,,,,,,,,,,,,,,,12681.00,,,,,,,,,,11030.00,,,,,,,,,,,,15960.00,,16300.00,,,3400.00,200.00,,94812.00
22-Jan-24,Vane,Vane,Carulla,Envigado,34153.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500.00,,,,,,,,,,,,,,,,,,,,,5800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,7800.00,53.00,,34153.00
22-Jan-27,Brando,Brando,Jumbo,Envigado,115514.00,0.00,0.00,,,,,,,,23950.00,,,,,,,,,,,,,,,,,,,,,,,,,,,41811.00,,,,,,,,,,,,,,,,,,,,,1063.00,,,,,,,,,,,,,,,,27880.00,,,8190.00,12890.00,,,,,,,,0.00,,115514.00
22-Jan-29,Vane,Vane,Jumbo,Envigado,130951.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000.00,,,,,,,,,,,,,,,,,,,,,3000.00,,,,,,,,,,30000.00,,,,,,,,,,,,,,,,,,,,130951.00
