Fecha,Mercador,Pagador,Super Mercado,Barrio,Factura,Solo Brando,Solo Vane,Brando Paga Vane,Vane Paga Brando,Brando Suprise,burtbees,papel higenico,Cauzela,Cereal,Leche,Jugo,Higos,Mango,Kiwi,Pitahaya,papaya,Fresa,Piña,mixta,Galupa,Arandano,Uchuva,Pera nacional,Pera Verde,Manzana Granny,Manzana Royal,Manzana Mixta,Ciruela,Nectarin,Durazno,Plantano,Banano,Mandarina,Limon,Guanabana,Granadilla,Fruta,broccoli,esparragos,aguacate,vegetalesMixta,Habicuela,Champinon,Zanahoria,Tomate,TomateArbol,white onion,red onion,Pimentos,Brocoli,Berenjena,Calabacin,aguacate injert,aguacate hass,Ajo,Papa,Ensalada,Verdura,carne precessada,carne molida,vaca,pollo,tocino,cerdo,camaron,pescado,huevos,Carne,aveva,arroz,lentejas,frijoles,garbazos,Arepa,pasta,pasta sauce,Quesito,Cafe,TÉ,Cerveza,Papel HIgenico,Mercato,Cosa por el baño,Pastilla,Para la Casa,Bosas Plasticas,IVA,Factura Compartido   Con Amor
21-Dec-27,Brando,Brando,Jumbo,Envigado,"23,590",0,0,,,,,,,,"23,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"23,590"
21-Dec-30,Brando,Brando,Jumbo,Envigado,"219,962",0,0,,,,,,"61,397","28,980","23,590",,,,,,,,,,,,,,,,,,,,,,,,,,,"49,610",,,,,,,,,,,,,,,,,,,,,"16,950",,,,,,,,,,"34,469",,,,,,"31,160",,,"8,190","16,780",,,,,,,,255,,"219,962"
22-Jan-04,Brando,Brando,Jumbo,Envigado,"143,850",0,0,,,,,,"14,888",,"23,590",,,,,,,,,,,,,,,,,,,,,,,,,,,"4,682",,,,,,,,,,,,,,,,,,,,,"2,201",,,,,,,,,,,,,,,,"16,580",,,,,,,,,,,,159,,"143,850"
22-Jan-07,Brando,Brando,Jumbo,Envigado,"181,405","19,990",0,,,"30,666",,,,"12,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,168",,,,,,,,,,,,,,,,,,,,,"6,456",,,,,,,,,,"24,210",,,,,,"19,980",,,"16,380","8,390","23,590",,,,,,,0,,"161,415"
22-Jan-10,Vane,Vane,Jumbo,Envigado,"147,563",0,0,,,,,,,,"7,380",,,,,,,,,,,,,,,,,,,,,,,,,,,"13,987",,,,,,,,,,,,,,,,,,,,,"5,343",,,,,,,,,,"47,298",,,,,,,,,,,,,,"7,590","13,790",,,0,,"147,563"
22-Jan-10,Vane,Vane,DeUno,Envigado,"24,560",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,560","4,380",,"24,560"
22-Jan-13,Brando,Brando,Jumbo,Envigado,"181,161",0,0,,,,,,,"15,990","23,590",,,,,,,,,,,,,,,,,,,,,,,,,,,"50,949",,,,,,,,,,,,,,,,,,,,,"15,932",,,,,,,,,,,,,,,,"35,560",,,"12,780","8,390",,,,"8,180",,,,0,,"181,161"
22-Jan-20,Brando,Brando,Jumbo,Envigado,"110,000",0,0,,,,,,,"12,990","23,590",,,,,,,,,,,,,,,,,,,,,,,,,,,"30,816",,,,,,,,,,,,,,,,,,,,,"6,096",,,,,,,,,,,,,,,,,,,"12,780",,,,,,"7,190",,"9,590",0,,"110,000"
22-Jan-22,los_dos,Brando,MerkaCaldas,Caldas,"94,812",0,0,,,,,,"19,715","18,051",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,346",,,,,,,,,,,,,,,,,,,,,"12,681",,,,,,,,,,"11,030",,,,,,,,,,,,"15,960",,"16,300",,,"3,400",200,,"94,812"
22-Jan-24,Vane,Vane,Carulla,Envigado,"34,153",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,500",,,,,,,,,,,,,,,,,,,,,"5,800",,,,,,,,,,,,,,,,,,,,,,,,,,,"7,800",53,,"34,153"
